TestSite,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
S10-6-2010,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S10-6-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S11-48-2007,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S11-48-2008,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S11-48-2010,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S11-48-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S11-48-2014,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S11-50-2008,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S11-50-2010,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S11-50-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S11-50-2014,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S15-19-2008,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S15-19-2010,S12-216-2009,S12-216-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-30-2005,S12-30-2009,S12-30-2011,,,,,,,,,,
